run_id,arm,sid,problem_id,label,split,model,difficulty_static,difficulty_measured,drift,drift_kind,drift_stale,guide,guess,guess_correct,verdict,proved,bound_class,bound_shape,bound_ensures,label_match,direction,degenerate,stub,declined,added_requires,gate_verify,gate_no_assume,gate_skeleton,gate_behaviour,gate_requires,requires_detail,code_identical,added_exec_lines,assumes,dafny_calls,tool_calls,wall_s,output_tokens,leak_attempts,attempts,agent_id,notes
pilot1,blind,1180_626,1180,O(n+m)log(n+m),strict,sonnet,2,2,False,,True,v2,O(n+mlogm),False,gave_up,False,,,,,,False,False,True,,True,True,True,True,True,"ok: a >= 1, ok: b >= 0, ok: a <= |c_list|, ok: b <= |d_list|, unchecked: forall k :: 0 <= k < b ==> d_list[k] >= 1 && d_list[k] <= PrefixSum1180(c_list, a)",True,0,0,2,17,359.5,25540,0,2,"a039a1d5,a471e3d1","output := Join(lines, ...) is Join over one line per letter (b of them) -- GUIDE says this pattern has no honest charge, gave_up rather than invent one. Separately, dorms[d_left := ...] in the else branch is a seq update, not append; GUIDE's laziness table covers only append, so a full-copy charge o"
pilot1,blind,1243_0,1243,O(nlogn+mlogm),strict,sonnet,1,1,True,sort-mismatch,False,v1,O(n),False,proves,True,O(n+m),L_s1^1.00 + L_s2^1.00,10 * |s1| + 10 * |s2| + 30,False,tighter,False,False,False,,True,True,True,True,True,no requires clauses,True,0,0,2,7,86.4,31789,0,1,a74efbdb,"task.dfy uses multiset(s1)!=multiset(s2), not solution.py's sorted()-based check -- a real translation difference. Charged multiset build/compare at O(|s1|+|s2|) (a single pass / hash compare), not assumed O(1) and not treated as an O(n) per-insert trap either. No nonlinear lemmas needed; the single"
pilot1,blind,1332_16,1332,O(nlogn),loose,sonnet,4,3,False,,False,v1,O(n**2),False,gave_up,False,O(n+m),F_ResBound_n^1.00 + F_SolveXBound_n^1.00,2 * SolveXBound(n) + ResBound(n) + 7,,tighter,False,False,False,,False,True,True,True,True,"ok: n == |a_list|, ok: n >= 0",False,2,0,3,15,1260.6,14442,0,1,aaf14105,
pilot1,blind,1338_61,1338,O(n*m),loose,sonnet,2,3,False,,False,v1,O(n*m),True,refutes,True,unclassified,L_queries^2.00 + n^2.00,|queries| * (4 * n * n + |queries| + 6) + 6,False,,False,False,False,,True,True,True,True,True,"ok: n == |a_list|, ok: forall qq :: 0 <= qq < |queries| ==> 1 <= queries[qq].0 <= n",False,2,0,8,33,1004.1,7361,0,1,a74e9e79,"RemoveAt does s[..idx]+s[idx+1..] (concat cost |s|), and ReverseSeq recurses with a trailing append -- both real-cost O(current size), not O(1). Inner loop removes up to n elements at cost up to n each: Theta(n^2) per query. parts:=parts+[...] each query also costs up to |parts|<=m, adding a Theta(m"
pilot1,blind,1563_497,1563,O(nlogn),strict,sonnet,3,1,False,,False,v1,O(nlogn),True,proves,True,unclassified,L_values^1.06,|values| * (CeilLog2(|values|) + 1) + 4 * |values| + 10,False,,False,False,False,|values| >= 1; 1 <= m <= 100; forall k :: 0 <= k < |values| ==> 1 <= values[k] <= 100,True,True,True,True,True,"ok: forall k :: 0 <= k < |values| ==> values[k] != 0, ok: |values| >= 1, ok: 1 <= m <= 100, violated-generated-only: forall k :: 0 <= k < |values| ==> 1 <= values[k] <= 100",True,0,0,2,17,463.0,14442,0,1,aaf14105,"Charged mergesort via shadow SortCost ghost fn, proved SortCost(s) <= |s|*(CeilLog2(|s|)+1) using MulMonoRight/MulDistrib from GUIDE. Charged IntToString via shadow IntToStringCost, bounded by 3 using added requires capping m,values at 100 (matches description 1<=ai,k<=100)."
pilot1,blind,1718_1166,1718,O(n*m),strict,sonnet,3,2,False,,False,v1,O(n*m),True,refutes,True,O(n**2+m**2),N1^2.00 + N2^2.00,20 * N1 * N1 + 20 * N2 * N2 + 20 * N1 * N2 + 20 * N1 + 20 * N2 + 30,False,same-rank,False,False,False,,True,True,True,True,True,"ok: 0 <= N1 <= |list1|, ok: 0 <= N2 <= |list2|",True,0,0,4,13,262.3,31789,0,1,a74efbdb,"SortInts on N1/N2 elements really costs Theta(N log N) per array, independent of the other array's size. With N2 held at a fixed small value and N1 growing, that sort cost is not O(N1*N2) -- so O(n*m) is not provable as a genuine bound, only as one when both sizes grow together. Charged both sorts f"
pilot1,blind,1733_64,1733,O(n**2),loose,sonnet,2,2,False,,True,v1,O(n**2),True,gave_up,False,,,,,,False,False,True,,True,True,True,True,True,ok: |b_list| == a,True,0,0,0,5,232.8,40039,0,1,a60e2af7,"Analysis (not Dafny-checked) suggests true cost is cubic, not quadratic: split/segs/newArr are built via seq+[x] appends charged real cost |s| per GUIDE.md, and the number of parts at outer step tar is exactly n-tar+1 (c is always a permutation of 1..n), so per-iteration append cost is Theta(m_t^2) "
pilot1,blind,1827_44,1827,O(n**2),loose,sonnet,3,1,False,,True,v1,O(n**2),True,proves,True,O(n**2+m**2),BIG^1.00 + XCAP^1.00 + a^2.00,BIG * (XCAP + 2) + BIG * (XCAP + 2) + (a + BIG) * a + BIG * (a + 1),False,same-rank,False,False,False,1 <= b <= 100000,True,True,True,True,True,"ok: a >= 0, violated-python-also-fails: 1 <= b <= 100000",True,0,0,2,11,510.2,94675,0,1,a1411951,"Two quadratic-risk spots: seq append |S|<=s (dominant), and Pow2 recomputed at growing depth in a loop (only log-scale, dominated once limit is capped). Tracked |S|+ss<=s as a potential invariant to bound total appends by s. 7/7 verified after adding two MulMonoRight calls to unstick the final nonli"
pilot1,blind,1915_158,1915,O(n+m),loose,sonnet,2,1,False,,False,v1,O(n+m),True,proves,True,O(n*m),A^1.00 + m^1.00 + n^1.00,A * n + 2 * A * m + 2 * A + 20,False,looser,False,False,False,forall t :: 0 <= t < n ==> 1 <= n_list[t] <= 1000000000000000000,True,True,True,True,True,"ok: n >= 2, ok: m >= 0, ok: |n_list| >= n, ok: |m_list| >= m, ok: forall t :: 0 <= t < |m_list| ==> m_list[t] >= 1, violated-generated-only: forall t :: 0 <= t < n ==> 1 <= n_list[t] <= 1000000000000000000",True,0,0,1,13,360.7,94675,0,1,a1411951,"GcdNN recursion depth bounded by its 2nd arg (GcdDepthBound lemma); capped by 1e18 requires, folded into constant A. IntToString cost bounded via a loose |IntToString(x)|<=x+1 lemma. Verified 8/8, 0 errors first try."
pilot1,blind,2381_176,2381,O(n),strict,sonnet,2,1,False,,False,v1,O(1),False,gave_up,True,O(1),1,20000000000,False,tighter,True,False,False,,True,True,True,True,True,ok: 1 <= n <= 1000000000,True,0,0,0,5,97.1,7361,0,1,a74e9e79,
pilot1,blind,2465_212,2465,O(nlogn),loose,sonnet,4,2,False,,False,v1,O(nlogn),True,gave_up,False,,,,,,False,True,False,,True,True,True,True,True,"ok: t >= 1, ok: |n_list| == t, ok: forall v :: v in n_list ==> 0 <= v < 0x40000000",True,0,0,0,5,380.5,40039,0,1,a60e2af7,
pilot1,blind,2496_30,2496,O(nlogn),loose,sonnet,4,2,False,,False,v1,O(n**2),False,gave_up,False,unclassified,BIG^1.00 + SORTK^1.00 + n^2.00,SORTK * ((n + 2) * (n + 2)) + 2 * BIG * (n + 1) + 2 * BIG,,,False,False,False,,False,True,True,True,True,ok: |a_list| == n,True,0,0,3,16,487.5,94675,0,1,a1411951,
pilot1,blind,2650_140,2650,O(nlogn),strict,sonnet,4,3,False,,True,v1,O(n**2),False,proves,True,O(n**2),n^2.00,50 * n * n + 50 * n + 50,False,looser,False,False,False,,True,True,True,True,True,"ok: n == |a_list|, ok: n >= 1",True,0,0,6,28,707.5,31789,0,1,a74efbdb,"Charged seq2+[x] append at its real cost |seq2| (the intended trap). Charged SortInts flatly at n*n+n+5, a loose but sound over-approximation of its true O(n log n) cost, since it's dominated by the loop-driven n^2 term. Charged seq index-update data[i:=x] and plain seq assignment dused:=used as O(1"
pilot1,blind,2704_92,2704,O(n**2),strict,sonnet,3,2,True,append-in-loop,False,v1,O(n**2+m**2),False,gave_up,False,,,,,,False,False,True,,True,True,True,True,True,ok: n == |names|,True,0,0,0,5,158.6,40039,0,1,a60e2af7,"prelude.dfy's ReplaceAll is the same cons-via-concat pattern as example 1733_64's ReverseInt: 'rep + ReplaceAll(suffix)' charges |suffix-result| at every recursion level, so ReplaceAll(s,..) is Theta(|s|^2), not linear. Reduce loops ReplaceAll to a fixpoint; adversarial input 'k'*m+'h' needs exactly"
pilot1,blind,2962_1209,2962,O(n**2+m**2),strict,sonnet,2,1,False,,False,v1,O(n**2),False,proves,True,O(n**2+m**2),L_first_name^2.00 + L_second_name^2.00,20 * (|first_name| + |second_name|) * (|first_name| + |second_name|),True,equal,False,False,False,,True,True,True,True,True,no requires clauses,True,0,0,3,10,90.0,31789,0,1,a74efbdb,"Charged seq concat (need := first_name+second_name) at its real cost |first_name|+|second_name|. Each outer iteration does two O(n) count scans, so O(n) per iteration over n iterations gives n^2. Needed MulAdd/MulMonoRight lemmas to isolate the multiplications (early mismatch exit means i<n at loop "
pilot1,blind,354_95,354,O(n),strict,sonnet,2,1,False,,False,v1,O(nlogn),False,proves,True,O(nlogn),a^1.07,a * (2 * CeilLog2(a) + 5) + 10,False,looser,False,False,False,,True,True,True,True,True,ok: a >= 1,True,0,0,2,10,328.3,40039,0,1,a60e2af7,"Added ghost steps to Log2Floor (bounded 2*CeilLog2(x)+3, via Pow2/CeilLog2 relation lemma) and to Solve (bounded a*K+1 via a loop invariant, K=2*CeilLog2(a)+5, using CeilLog2 monotonicity since nn<=a always). Needed to isolate the (a-nn)*K multiplication into two tiny lemmas (distribute, monotone-in"
