task_id,type,example_id,arxiv_id,kind,categories,prompt,answer
0706.3265#1:bound-cloze:1,bound-cloze,0706.3265#1,0706.3265,lemma,communication-complexity; quantum-complexity,"For any N -level quantum state pmb ρ and any N × N generator matrices pmb λ _i 's, there exists an ([MASK]-1) -dimensional vector r =(r_i) such that pmb ρ can be written as pmb ρ = frac 1 N (pmb I + sqrt frac N(N-1) 2 Σ _ i=1 ^ N^2-1 r_i pmb λ _i ).",N^2
0706.3265#2:bound-cloze:2,bound-cloze,0706.3265#2,0706.3265,lemma,communication-complexity; quantum-complexity,"Let r= sqrt Σ _ i=1 ^ [MASK]-1 r_i^2 . Then, pmb ρ =frac 1 N (pmb I + sqrt frac N(N-1) 2 Σ _ i=1 ^ N^2-1 r_ipmb λ _i ) is a quantum state if and only if r ≤ sqrt frac 2 N(N-1) frac 1 |m( Σ _ i=1 ^ N^2-1 (frac r_i r )pmb λ _i)| , where m(pmb A ) denotes the minimum of eigenvalues of a matrix pmb A , and pmb λ _i 's are any generator matrices.",N^2
0706.3265#3:bound-cloze:3,bound-cloze,0706.3265#3,0706.3265,lemma,communication-complexity; quantum-complexity,"Let B ( R ^ [MASK]-1 ) be the set of Bloch vectors of all N -level quantum states. Let D_ r_s ( R ^ N^2-1 )={ r ∈ R ^ N^2-1 mid | r | ≤ frac 1 N-1 } (called the small ball), and D_ r_l ( R ^ N^2-1 )={ r ∈ R ^ N^2-1 mid | r | ≤ 1 } (called the large ball). Then, D_ r_s ( R ^ N^2-1 ) ⊆ B ( R ^ N^2-1 ) ⊆ D_ r_l ( R ^ N^2-1 ) .",N^2
0706.3265#5:bound-cloze:4,bound-cloze,0706.3265#5,0706.3265,lemma,communication-complexity; quantum-complexity,"For any POVM {pmb E ,pmb I -pmb E } over N -level quantum states and N × N generator matrices pmb λ _i 's, there exists an [MASK] -dimensional vector e =(e_i) such that pmb E can be written as pmb E = e_ N^2 pmb I + Σ _ i=1 ^ N^2-1 e_ipmb λ _i .",N^2
0706.3265#9:paper-subarea:1,paper-subarea,0706.3265#9,0706.3265,corollary,communication-complexity; quantum-complexity,"lceil n/4 rceil ≤ Q(IP_n) ≤ lceil (( log 3) n+2)/4 rceil .

[MASK]",communication-complexity; quantum-complexity
0706.3265#14:paper-subarea:2,paper-subarea,0706.3265#14,0706.3265,corollary,communication-complexity; quantum-complexity,"(2^ 2n -1,n,>1/2) -QRAC exists, but (2^ 2n ,n,>1/2) -QRAC does not exist. Moreover, (2^n-1,n,>1/2) -RAC exists, but (2^n,n,>1/2) -RAC does not exist.

[MASK]",communication-complexity; quantum-complexity
0706.3265#15:paper-subarea:3,paper-subarea,0706.3265#15,0706.3265,theorem,communication-complexity; quantum-complexity,"For any n ≥ 1 , there exists a (2^ 2n -1,n,p) -QRAC such that p ≥ frac 1 2 + frac 1 2 sqrt (2^n-1)(2^ 2n -1) .

[MASK]",communication-complexity; quantum-complexity
0706.3265#16:paper-subarea:4,paper-subarea,0706.3265#16,0706.3265,theorem,communication-complexity; quantum-complexity,"There exists a (2^n-1,n,p) -RAC such that p ≥ frac 1 2 + frac 1 2 (2^ n+1 -5) .

[MASK]",communication-complexity; quantum-complexity
0806.3982#1:paper-subarea:1,paper-subarea,0806.3982#1,0806.3982,theorem,interactive-proofs,"Let V be a polynomial time verifier that can exchange quantum messages with two computationally unbounded provers. The provers share no entanglement, but can freely communicate classically between them. Then for any L ∈ NEXP there is a two round protocol for the verifier and provers such that for any string x (completeness) If x ∈ L then there are two prover strategies such that V will accept x with probability 1. (soundness) If x ∉ L then for any two prover strategies the probability that V will accept x is at most c for some constant 0 < c < 1 . The communication between the verifier and the provers is is polynomial in the length of the input .

[MASK]",interactive-proofs
0808.2662#5:bound-cloze:1,bound-cloze,0808.2662#5,0808.2662,theorem,communication-complexity; query-complexity,"There exists a family of functions \[{G_i: {0, 1}^ 4^i → {0, 1} }_ i ∈ N quad such that \] G_i and overline G_i each have uDNF representations in which each clause has size at most s_i = 3^i ; D(G_i) ≥ frac 4^i + 2 3 = [MASK] , where γ = log _3 (4) > 1 .",Ω (s_i^ γ )
