[12:11:10] 'circuit lower bound': 100 hits, 100 kept, 72 new, 0 filtered
[12:11:10] 'circuit complexity AND boolean function': 43 hits, 41 kept, 36 new, 2 filtered
[12:11:10] 'constant-depth circuit AND lower bound': 29 hits, 29 kept, 25 new, 0 filtered
[12:11:10] 'monotone circuit AND lower bound': 26 hits, 26 kept, 18 new, 0 filtered
[12:11:10] 'formula size AND lower bound': 33 hits, 33 kept, 29 new, 0 filtered
[12:11:11] 'branching program AND lower bound': 83 hits, 83 kept, 75 new, 0 filtered
[12:11:11] 'switching lemma': 34 hits, 29 kept, 23 new, 5 filtered
[12:11:11] 'threshold circuit AND TC0': 1 hits, 1 kept, 1 new, 0 filtered
[12:11:11] 'ACC0 AND lower bound': 2 hits, 2 kept, 0 new, 0 filtered
[12:11:11] 'Karp-Lipton AND collapse': 6 hits, 6 kept, 4 new, 0 filtered
[12:11:11] 'arithmetic circuit AND lower bound': 72 hits, 72 kept, 41 new, 0 filtered
[12:11:11] 'polynomial identity testing': 82 hits, 69 kept, 50 new, 13 filtered
[12:11:11] 'permanent versus determinant': 7 hits, 7 kept, 5 new, 0 filtered
[12:11:12] 'geometric complexity theory': 60 hits, 60 kept, 50 new, 0 filtered
[12:11:12] 'tensor rank AND border rank': 17 hits, 13 kept, 12 new, 4 filtered
[12:11:12] 'matrix multiplication exponent': 94 hits, 68 kept, 65 new, 26 filtered
[12:11:12] 'algebraic branching program': 55 hits, 54 kept, 17 new, 1 filtered
[12:11:13] 'depth reduction AND arithmetic circuit': 7 hits, 7 kept, 2 new, 0 filtered
[12:11:13] 'VP versus VNP': 1 hits, 1 kept, 0 new, 0 filtered
[12:11:13] 'proof complexity AND lower bound': 68 hits, 68 kept, 56 new, 0 filtered
[12:11:13] 'resolution refutation AND width': 10 hits, 10 kept, 6 new, 0 filtered
[12:11:13] 'cutting planes AND proof system': 10 hits, 8 kept, 5 new, 2 filtered
[12:11:13] 'bounded arithmetic AND propositional': 17 hits, 14 kept, 12 new, 3 filtered
[12:11:13] 'polynomial calculus AND degree lower bound': 5 hits, 4 kept, 4 new, 1 filtered
[12:11:13] 'sum-of-squares AND refutation': 41 hits, 24 kept, 22 new, 17 filtered
[12:11:13] 'Frege proof system': 6 hits, 6 kept, 3 new, 0 filtered
[12:11:13] 'proof complexity AND automatability': 2 hits, 2 kept, 0 new, 0 filtered
[12:11:14] 'communication complexity AND lower bound': 100 hits, 100 kept, 96 new, 0 filtered
[12:11:14] 'lifting theorem AND communication': 17 hits, 17 kept, 14 new, 0 filtered
[12:11:14] 'information complexity AND direct sum': 8 hits, 8 kept, 5 new, 0 filtered
[12:11:14] 'log-rank conjecture': 25 hits, 24 kept, 19 new, 1 filtered
[12:11:14] 'number-on-forehead AND communication': 14 hits, 14 kept, 11 new, 0 filtered
[12:11:14] 'query complexity AND decision tree': 35 hits, 33 kept, 30 new, 2 filtered
[12:11:14] HTTP 429 from export.arxiv.org, retry 1/5 in 2s
[12:11:24] HTTP 429 from export.arxiv.org, retry 2/5 in 4s
[12:11:34] HTTP 429 from export.arxiv.org, retry 3/5 in 8s
[12:11:44] HTTP 429 from export.arxiv.org, retry 4/5 in 16s
[12:12:01] 'sensitivity conjecture AND block sensitivity': 12 hits, 10 kept, 8 new, 2 filtered
[12:12:11] 'approximate degree AND polynomial method': 4 hits, 4 kept, 4 new, 0 filtered
[12:12:22] 'certificate complexity AND boolean function': 31 hits, 27 kept, 16 new, 4 filtered
[12:12:32] 'streaming AND space lower bound': 60 hits, 35 kept, 29 new, 25 filtered
[12:12:41] 'derandomization AND pseudorandom generator': 25 hits, 21 kept, 15 new, 4 filtered
[12:12:51] 'hardness versus randomness': 3 hits, 3 kept, 1 new, 0 filtered
[12:13:01] 'randomness extractor AND explicit construction': 7 hits, 5 kept, 4 new, 2 filtered
[12:13:11] 'pseudorandom generator AND constant depth': 5 hits, 5 kept, 2 new, 0 filtered
[12:13:21] 'hitting set generator AND polynomial identity testing': 6 hits, 6 kept, 0 new, 0 filtered
[12:13:31] 'expander graph AND explicit construction': 14 hits, 9 kept, 9 new, 5 filtered
[12:13:41] 'k-wise independence AND pseudorandom': 6 hits, 2 kept, 2 new, 4 filtered
[12:13:51] 'BPP versus P AND derandomization': 0 hits, 0 kept, 0 new, 0 filtered
[12:14:01] 'hardness of approximation AND PCP': 25 hits, 21 kept, 20 new, 4 filtered
[12:14:12] 'unique games conjecture': 100 hits, 75 kept, 73 new, 25 filtered
[12:14:21] 'probabilistically checkable proof AND gap': 6 hits, 6 kept, 5 new, 0 filtered
[12:14:31] 'parallel repetition theorem': 42 hits, 26 kept, 25 new, 16 filtered
[12:14:41] 'label cover AND inapproximability': 10 hits, 10 kept, 4 new, 0 filtered
[12:14:52] 'small-set expansion AND hardness': 43 hits, 34 kept, 28 new, 9 filtered
[12:15:01] 'constraint satisfaction AND approximation resistance': 8 hits, 5 kept, 5 new, 3 filtered
