paper_id,arxiv_id,title,year,venue_short,categories,status,n_examples,source_chars,classes_used,problems_used,hypotheses_used
doi:10.1007/978-3-540-73420-8_12,0706.3265,Unbounded-error One-way Classical and Quantum Communication Complexity,2007,,communication-complexity; quantum-complexity,ok,16,43485,IP:3,Equality:1; Index:3; Inner Product:2; Set Disjointness:2,
arxiv:0806.3982,0806.3982,Quantum Multi Prover Interactive Proofs with Communicating Provers,2008,,interactive-proofs,ok,12,60990,AM:1; EXP:4; IP:1; MIP:3; NEXP:10; NP:9; PCP:2; PSPACE:3; QMA:5,3SAT:2,
doi:10.1109/ccc.2009.33,0808.2662,Multitask Efficiencies in the Decision Tree Model,2008,,communication-complexity; query-complexity,ok,12,64150,Wt:4,Hitting Set:21; PIT:1; Search/Grover:1,
doi:10.1007/s00037-009-0279-z,0810.3163,Reduced Kronecker coefficients and counter-examples to Mulmuley's strong saturation conjecture SH,2008,,algebraic-complexity,ok,10,220175,GapP:1; NP:4; P:6; RP:1; sharpP:20,Determinant:1; Permanent:1,P != NP:4
arxiv:0812.1385,0812.1385,An Extension of the Permutation Group Enumeration Technique (Collapse of the Polynomial Hierarchy: $\mathbf{NP = P}$),2008,,structural,ok,50,128252,FP:8; NP:9; P:5; PH:3; sharpP:9,Matching:31,
doi:10.1007/978-3-642-03816-7,0902.2300,A Dichotomy Theorem for Polynomial Evaluation,2009,,algebraic-complexity; counting-complexity,ok,30,54157,FP:3; IP:20; NP:3; P:2; VNP:58; VP:7,CSP:5; Independent Set:11; Majority:1; Permanent:24; QBF/TQBF:1; SAT:14; Vertex Cover:22,
doi:10.1109/focs.2009.55,0904.2759,Span Programs and Quantum Query Complexity: The General Adversary Bound Is Nearly Tight for Every Boolean Function,2009,,quantum-complexity; query-complexity,ok,78,242181,E:1,Collision/Element Distinctness:3; Majority:4; Matrix Multiplication:1; Parity:1; Search/Grover:1,
doi:10.1007/978-3-642-14165-2_4,0910.5765,The positive semidefinite Grothendieck problem with rank constraint,2009,,hardness-of-approximation,ok,4,34561,NP:4,Unique Games:6; Vertex Cover:4,Unique Games Conjecture:12
arxiv:1004.0411,1004.0411,Quantum interactive proofs with short messages,2010,,interactive-proofs; quantum-complexity,ok,5,58286,AM:1; BPP:1; BQP:16; E:2; IP:1; PSPACE:3; QAM:3; QIP:8; QMA:14; QSZK:1,,
arxiv:1005.0644,1005.0644,Improved Direct Product Theorems for Randomized Query Complexity,2010,,communication-complexity; query-complexity,ok,30,121487,BPP:1,Majority:1; Parity:1; Sensitivity/Block Sensitivity:1; Set Disjointness:1,
